	Exact																																								
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	0	-0.003	-0.006	-0.009	-0.013	-0.016	-0.019	-0.022	-0.025	-0.028	-0.031	-0.034	-0.037	-0.039	-0.042	-0.044	-0.046	-0.048	-0.049	-0.05	-0.05	-0.05	-0.049	-0.048	-0.046	-0.044	-0.042	-0.039	-0.037	-0.034	-0.031	-0.028	-0.025	-0.022	-0.019	-0.016	-0.013	-0.009	-0.006	-0.003	0
0.2	0	-0.006	-0.013	-0.019	-0.026	-0.032	-0.038	-0.044	-0.051	-0.057	-0.063	-0.068	-0.074	-0.079	-0.084	-0.089	-0.093	-0.096	-0.099	-0.101	-0.101	-0.101	-0.099	-0.096	-0.093	-0.089	-0.084	-0.079	-0.074	-0.068	-0.063	-0.057	-0.051	-0.044	-0.038	-0.032	-0.026	-0.019	-0.013	-0.006	0
0.3	0	-0.01	-0.019	-0.029	-0.039	-0.048	-0.058	-0.067	-0.076	-0.085	-0.094	-0.103	-0.111	-0.119	-0.126	-0.133	-0.139	-0.144	-0.148	-0.151	-0.152	-0.151	-0.148	-0.144	-0.139	-0.133	-0.126	-0.119	-0.111	-0.103	-0.094	-0.085	-0.076	-0.067	-0.058	-0.048	-0.039	-0.029	-0.019	-0.01	0
0.4	0	-0.013	-0.025	-0.038	-0.05	-0.063	-0.075	-0.087	-0.099	-0.11	-0.122	-0.133	-0.143	-0.153	-0.162	-0.171	-0.179	-0.185	-0.191	-0.194	-0.195	-0.194	-0.191	-0.185	-0.179	-0.171	-0.162	-0.153	-0.143	-0.133	-0.122	-0.11	-0.099	-0.087	-0.075	-0.063	-0.05	-0.038	-0.025	-0.013	0
0.5	0	-0.015	-0.03	-0.045	-0.06	-0.075	-0.089	-0.104	-0.118	-0.131	-0.145	-0.158	-0.17	-0.182	-0.193	-0.203	-0.213	-0.221	-0.227	-0.231	-0.233	-0.231	-0.227	-0.221	-0.213	-0.203	-0.193	-0.182	-0.17	-0.158	-0.145	-0.131	-0.118	-0.104	-0.089	-0.075	-0.06	-0.045	-0.03	-0.015	0
0.6	0	-0.017	-0.034	-0.051	-0.068	-0.084	-0.101	-0.117	-0.133	-0.149	-0.164	-0.178	-0.192	-0.206	-0.218	-0.23	-0.24	-0.249	-0.257	-0.261	-0.263	-0.261	-0.257	-0.249	-0.24	-0.23	-0.218	-0.206	-0.192	-0.178	-0.164	-0.149	-0.133	-0.117	-0.101	-0.084	-0.068	-0.051	-0.034	-0.017	0
0.7	0	-0.019	-0.037	-0.055	-0.074	-0.092	-0.11	-0.128	-0.145	-0.162	-0.178	-0.194	-0.209	-0.224	-0.238	-0.25	-0.261	-0.271	-0.28	-0.285	-0.286	-0.285	-0.28	-0.271	-0.261	-0.25	-0.238	-0.224	-0.209	-0.194	-0.178	-0.162	-0.145	-0.128	-0.11	-0.092	-0.074	-0.055	-0.037	-0.019	0
0.8	0	-0.02	-0.039	-0.059	-0.078	-0.097	-0.116	-0.135	-0.153	-0.171	-0.189	-0.205	-0.222	-0.237	-0.251	-0.265	-0.277	-0.287	-0.296	-0.301	-0.303	-0.301	-0.296	-0.287	-0.277	-0.265	-0.251	-0.237	-0.222	-0.205	-0.189	-0.171	-0.153	-0.135	-0.116	-0.097	-0.078	-0.059	-0.039	-0.02	0
0.9	0	-0.02	-0.041	-0.061	-0.081	-0.101	-0.12	-0.139	-0.158	-0.177	-0.195	-0.212	-0.229	-0.245	-0.26	-0.273	-0.286	-0.297	-0.306	-0.311	-0.313	-0.311	-0.306	-0.297	-0.286	-0.273	-0.26	-0.245	-0.229	-0.212	-0.195	-0.177	-0.158	-0.139	-0.12	-0.101	-0.081	-0.061	-0.041	-0.02	0
1	0	-0.021	-0.041	-0.061	-0.082	-0.102	-0.121	-0.141	-0.16	-0.179	-0.197	-0.214	-0.231	-0.247	-0.262	-0.276	-0.289	-0.3	-0.309	-0.315	-0.317	-0.315	-0.309	-0.3	-0.289	-0.276	-0.262	-0.247	-0.231	-0.214	-0.197	-0.179	-0.16	-0.141	-0.121	-0.102	-0.082	-0.061	-0.041	-0.021	0
1.1	0	-0.02	-0.041	-0.061	-0.081	-0.101	-0.12	-0.139	-0.158	-0.177	-0.195	-0.212	-0.229	-0.245	-0.26	-0.273	-0.286	-0.297	-0.306	-0.311	-0.313	-0.311	-0.306	-0.297	-0.286	-0.273	-0.26	-0.245	-0.229	-0.212	-0.195	-0.177	-0.158	-0.139	-0.12	-0.101	-0.081	-0.061	-0.041	-0.02	0
1.2	0	-0.02	-0.039	-0.059	-0.078	-0.097	-0.116	-0.135	-0.153	-0.171	-0.189	-0.205	-0.222	-0.237	-0.251	-0.265	-0.277	-0.287	-0.296	-0.301	-0.303	-0.301	-0.296	-0.287	-0.277	-0.265	-0.251	-0.237	-0.222	-0.205	-0.189	-0.171	-0.153	-0.135	-0.116	-0.097	-0.078	-0.059	-0.039	-0.02	0
1.3	0	-0.019	-0.037	-0.055	-0.074	-0.092	-0.11	-0.128	-0.145	-0.162	-0.178	-0.194	-0.209	-0.224	-0.238	-0.25	-0.261	-0.271	-0.28	-0.285	-0.286	-0.285	-0.28	-0.271	-0.261	-0.25	-0.238	-0.224	-0.209	-0.194	-0.178	-0.162	-0.145	-0.128	-0.11	-0.092	-0.074	-0.055	-0.037	-0.019	0
1.4	0	-0.017	-0.034	-0.051	-0.068	-0.084	-0.101	-0.117	-0.133	-0.149	-0.164	-0.178	-0.192	-0.206	-0.218	-0.23	-0.24	-0.249	-0.257	-0.261	-0.263	-0.261	-0.257	-0.249	-0.24	-0.23	-0.218	-0.206	-0.192	-0.178	-0.164	-0.149	-0.133	-0.117	-0.101	-0.084	-0.068	-0.051	-0.034	-0.017	0
1.5	0	-0.015	-0.03	-0.045	-0.06	-0.075	-0.089	-0.104	-0.118	-0.131	-0.145	-0.158	-0.17	-0.182	-0.193	-0.203	-0.213	-0.221	-0.227	-0.231	-0.233	-0.231	-0.227	-0.221	-0.213	-0.203	-0.193	-0.182	-0.17	-0.158	-0.145	-0.131	-0.118	-0.104	-0.089	-0.075	-0.06	-0.045	-0.03	-0.015	0
1.6	0	-0.013	-0.025	-0.038	-0.05	-0.063	-0.075	-0.087	-0.099	-0.11	-0.122	-0.133	-0.143	-0.153	-0.162	-0.171	-0.179	-0.185	-0.191	-0.194	-0.195	-0.194	-0.191	-0.185	-0.179	-0.171	-0.162	-0.153	-0.143	-0.133	-0.122	-0.11	-0.099	-0.087	-0.075	-0.063	-0.05	-0.038	-0.025	-0.013	0
1.7	0	-0.01	-0.019	-0.029	-0.039	-0.048	-0.058	-0.067	-0.076	-0.085	-0.094	-0.103	-0.111	-0.119	-0.126	-0.133	-0.139	-0.144	-0.148	-0.151	-0.152	-0.151	-0.148	-0.144	-0.139	-0.133	-0.126	-0.119	-0.111	-0.103	-0.094	-0.085	-0.076	-0.067	-0.058	-0.048	-0.039	-0.029	-0.019	-0.01	0
1.8	0	-0.006	-0.013	-0.019	-0.026	-0.032	-0.038	-0.044	-0.051	-0.057	-0.063	-0.068	-0.074	-0.079	-0.084	-0.089	-0.093	-0.096	-0.099	-0.101	-0.101	-0.101	-0.099	-0.096	-0.093	-0.089	-0.084	-0.079	-0.074	-0.068	-0.063	-0.057	-0.051	-0.044	-0.038	-0.032	-0.026	-0.019	-0.013	-0.006	0
1.9	0	-0.003	-0.006	-0.009	-0.013	-0.016	-0.019	-0.022	-0.025	-0.028	-0.031	-0.034	-0.037	-0.039	-0.042	-0.044	-0.046	-0.048	-0.049	-0.05	-0.05	-0.05	-0.049	-0.048	-0.046	-0.044	-0.042	-0.039	-0.037	-0.034	-0.031	-0.028	-0.025	-0.022	-0.019	-0.016	-0.013	-0.009	-0.006	-0.003	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																									
	CPU																																								
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	-0.003	-0.007	-0.01	-0.014	-0.017	-0.02	-0.024	-0.027	-0.03	-0.033	-0.036	-0.039	-0.042	-0.044	-0.047	-0.049	-0.051	-0.052	-0.053	-0.053	-0.053	-0.052	-0.051	-0.049	-0.047	-0.044	-0.042	-0.039	-0.036	-0.033	-0.03	-0.027	-0.024	-0.02	-0.017	-0.014	-0.01	-0.007	-0.003	0
	0	-0.007	-0.013	-0.02	-0.027	-0.033	-0.04	-0.046	-0.052	-0.059	-0.065	-0.07	-0.076	-0.081	-0.086	-0.091	-0.095	-0.099	-0.102	-0.103	-0.104	-0.103	-0.102	-0.099	-0.095	-0.091	-0.086	-0.081	-0.076	-0.07	-0.065	-0.059	-0.052	-0.046	-0.04	-0.033	-0.027	-0.02	-0.013	-0.007	0
	0	-0.01	-0.019	-0.029	-0.039	-0.048	-0.058	-0.067	-0.076	-0.085	-0.094	-0.102	-0.111	-0.118	-0.126	-0.132	-0.138	-0.143	-0.148	-0.15	-0.152	-0.15	-0.148	-0.143	-0.138	-0.132	-0.126	-0.118	-0.111	-0.102	-0.094	-0.085	-0.076	-0.067	-0.058	-0.048	-0.039	-0.029	-0.019	-0.01	0
	0	-0.013	-0.025	-0.038	-0.05	-0.062	-0.074	-0.086	-0.098	-0.11	-0.121	-0.132	-0.142	-0.152	-0.162	-0.17	-0.178	-0.184	-0.19	-0.194	-0.195	-0.194	-0.19	-0.184	-0.178	-0.17	-0.162	-0.152	-0.142	-0.132	-0.121	-0.11	-0.098	-0.086	-0.074	-0.062	-0.05	-0.038	-0.025	-0.013	0
